id,observed_on,user_id,latitude,longitude,place_county_name,scientific_name,taxon_id,taxon_family_name
8120031,2017-09-26,597767,32.2332884126,-110.9516645752,Pima,Phoebis sennae,48550,Pieridae
8120109,2017-09-26,597767,32.2332793376,-110.9517074903,Pima,Leptotes marina,59152,Lycaenidae
8120230,2017-09-26,597767,32.2332339599,-110.9516538464,Pima,Hylephila phyleus,50340,Hesperiidae
8121482,2017-09-26,597767,32.232191507,-110.948522714,Pima,Erynnis funeralis,59188,Hesperiidae
8137853,2017-09-27,232369,32.24064237,-110.93635312,Pima,Danaus gilippus,51743,Nymphalidae
8186735,2017-09-30,21718,32.3394822761,-110.9814870508,Pima,Vanessa cardui,48548,Nymphalidae
8186747,2017-09-30,567413,32.3394043185,-110.9811999836,Pima,Leptotes marina,59152,Lycaenidae
8187539,2017-09-30,21718,32.3393033369,-110.9808932286,Pima,Hemiargus ceraunus,69940,Lycaenidae
8191509,2017-09-30,232369,32.3395240134,-110.981597118,Pima,Leptotes marina,59152,Lycaenidae
8204378,2017-09-30,597767,32.2247171288,-110.9979883068,Pima,Danaus gilippus,51743,Nymphalidae
8204388,2017-09-30,597767,32.2249531129,-110.998181431,Pima,Libytheana carinenta,58561,Nymphalidae
8208807,2017-10-01,264009,32.2842460959,-111.0325811187,Pima,Libytheana carinenta,58561,Nymphalidae
8217054,2017-10-01,264009,32.2862991683,-111.0337061913,Pima,Vanessa cardui,48548,Nymphalidae
8221491,2017-10-01,264009,32.2823566742,-111.0343178072,Pima,Erynnis funeralis,59188,Hesperiidae
8221547,2017-10-01,264009,32.2826603834,-111.0342438177,Pima,Vanessa cardui,48548,Nymphalidae
8221683,2017-09-30,264009,32.2826772096,-111.0342033705,Pima,Danaus gilippus,51743,Nymphalidae
8221701,2017-09-30,264009,32.2818735243,-111.0337327812,Pima,Erynnis funeralis,59188,Hesperiidae
8263581,2017-10-04,264009,32.2822628032,-111.0329149159,Pima,Danaus plexippus,48662,Nymphalidae
8263678,2017-10-04,264009,32.2826053924,-111.033106343,Pima,Danaus plexippus,48662,Nymphalidae
8263851,2017-10-04,264009,32.2837156454,-111.0332364512,Pima,Vanessa cardui,48548,Nymphalidae
8305736,2017-10-07,597767,32.2251636332,-110.9977698328,Pima,Calephelis nemesis,129363,Riodinidae
8329342,2017-10-09,264009,32.259525,-111.0149611167,Pima,Zerene cesonia,129362,Pieridae
8369407,2017-10-11,264009,32.2593833333,-111.0149611167,Pima,Vanessa cardui,48548,Nymphalidae
8369527,2017-10-11,264009,32.279304949,-111.0213171123,Pima,Vanessa cardui,48548,Nymphalidae
8373909,2017-10-11,264009,32.2793239042,-111.0213914352,Pima,Vanessa cardui,48548,Nymphalidae
8373957,2017-10-11,264009,32.2791954068,-111.021954817,Pima,Vanessa cardui,48548,Nymphalidae
8373974,2017-10-11,264009,32.2789870657,-111.0227096206,Pima,Vanessa cardui,48548,Nymphalidae
8374210,2017-10-11,264009,32.2794501041,-111.0209072693,Pima,Vanessa cardui,48548,Nymphalidae
8377941,2017-10-11,264009,32.2796096699,-111.0267551677,Pima,Vanessa cardui,48548,Nymphalidae
8379420,2017-10-11,264009,32.2903475039,-111.0306923271,Pima,Vanessa cardui,48548,Nymphalidae
8379750,2017-10-11,264009,32.2791735014,-111.0214040208,Pima,Danaus plexippus,48662,Nymphalidae
8379754,2017-10-11,264009,32.2791973935,-111.0213235606,Pima,Danaus gilippus,51743,Nymphalidae
8382111,2017-10-12,264009,32.279316602,-111.0209575278,Pima,Danaus gilippus,51743,Nymphalidae
8382238,2017-10-12,264009,32.278277865,-111.0249889755,Pima,Vanessa cardui,48548,Nymphalidae
8394231,2017-10-13,597767,32.2244970583,-110.9756593904,Pima,Strymon melinus,50931,Lycaenidae
8394237,2017-10-13,597767,32.2253770422,-110.9768082544,Pima,Vanessa cardui,48548,Nymphalidae
8394314,2017-10-13,597767,32.2320612496,-110.9537252785,Pima,Phoebis sennae,48550,Pieridae
8395057,2017-10-13,264009,32.25935,-111.0149166667,Pima,Vanessa cardui,48548,Nymphalidae
8395782,2017-10-13,264009,32.2694532167,-111.0208384384,Pima,Vanessa cardui,48548,Nymphalidae
8395784,2017-10-13,264009,32.2743099259,-111.0206906176,Pima,Libytheana carinenta,58561,Nymphalidae
8395840,2017-10-13,264009,32.2791004445,-111.0206556569,Pima,Vanessa cardui,48548,Nymphalidae
8396098,2017-10-13,264009,32.2793624072,-111.0270173227,Pima,Vanessa cardui,48548,Nymphalidae
8400851,2017-10-13,264009,32.2790659747,-111.0273202674,Pima,Libytheana carinenta,58561,Nymphalidae
