id,observed_on,user_id,latitude,longitude,place_county_name,scientific_name,taxon_id,taxon_family_name
46045988,2020-05-15,2758907,35.1114038,-111.6902195,Coconino,Icaricia lupini,117360,Lycaenidae
46049195,2017-04-19,827099,36.065337195,-112.1178517342,Coconino,Vanessa cardui,48548,Nymphalidae
46054009,2020-05-15,2263273,32.1133297594,-111.1468961924,Pima,Asterocampa celtis,68264,Nymphalidae
46074130,2007-09-02,215669,33.2786574508,-111.158898848,Pinal,Danaus gilippus,51743,Nymphalidae
46074131,2007-09-02,215669,33.2786574508,-111.158898848,Pinal,Phoebis sennae,48550,Pieridae
46074135,2007-09-02,215669,33.2786574508,-111.158898848,Pinal,Abaeis nicippe,81727,Pieridae
46074136,2007-09-02,215669,33.2786574508,-111.158898848,Pinal,Papilio polyxenes,58523,Papilionidae
46074137,2007-09-02,215669,33.2786574508,-111.158898848,Pinal,Vanessa cardui,48548,Nymphalidae
46074147,2007-09-02,215669,33.2786574508,-111.158898848,Pinal,Asterocampa leilia,148793,Nymphalidae
46074511,2010-10-02,215669,33.2785632631,-111.1552403074,Pinal,Battus philenor,49972,Papilionidae
46074513,2010-10-02,215669,33.2785632631,-111.1552403074,Pinal,Eurema mexicana,122374,Pieridae
46074518,2010-10-02,215669,33.2785632631,-111.1552403074,Pinal,Copaeodes aurantiaca,129415,Hesperiidae
46091136,2020-05-15,1495757,31.8359179722,-110.356859,Cochise,Echinargus isola,118914,Lycaenidae
46096054,2020-05-16,2222786,32.651325,-109.81304167,Graham,Limenitis arthemis,60607,Nymphalidae
46102766,2019-04-28,922012,33.7656648305,-111.4926153026,Maricopa,Asterocampa leilia,148793,Nymphalidae
46106469,2020-05-15,1112392,32.5761148679,-110.7305611087,Pinal,Celastrina echo,52484,Lycaenidae
46107168,2020-05-15,1112392,32.576115998,-110.7305812252,Pinal,Eurema mexicana,122374,Pieridae
46108948,2019-04-28,922012,34.2194566386,-111.3368897539,Gila,Nathalis iole,51773,Pieridae
46111369,2020-05-16,2540465,32.228455,-110.96598,Pima,Asterocampa celtis,68264,Nymphalidae
46121463,2020-05-16,793885,32.253405,-110.79643333,Pima,Anthanassa texana,132339,Nymphalidae
46122061,2020-05-15,1112392,32.5763318503,-110.7306728366,Pinal,Nymphalis californica,49920,Nymphalidae
46123540,2020-05-15,1112392,32.5761220901,-110.7305751588,Pinal,Vanessa virginiensis,48549,Nymphalidae
46129489,2020-05-16,2222786,32.65125333,-109.81298833,Graham,Papilio rutulus,47226,Papilionidae
46139868,2020-05-15,1112392,32.5778394719,-110.72578542,Pinal,Asterocampa celtis,68264,Nymphalidae
46152462,2020-05-16,1723765,32.2931430156,-110.8376857749,Pima,Leptotes marina,59152,Lycaenidae
46157540,2020-05-16,611759,31.5461254136,-110.1350765303,Cochise,Danaus gilippus,51743,Nymphalidae
46164743,2020-05-16,28958,34.7418366667,-112.0212516667,Yavapai,Icaricia lupini,117360,Lycaenidae
46165021,2020-05-16,1279898,33.3323616615,-112.5012033785,Maricopa,Agraulis vanillae,49150,Nymphalidae
46169114,2020-05-16,332438,32.326584864,-110.700432309,Pima,Phaeostrymon alcestis,205153,Lycaenidae
46169692,2020-05-16,273917,35.3169357246,-111.6477438435,Coconino,Polygonia gracilis,50391,Nymphalidae
46172188,2020-05-16,2925153,33.5271330924,-112.2842330009,Maricopa,Junonia coenia,48505,Nymphalidae
46181154,2020-05-14,9531,31.9172072982,-109.2789704204,Cochise,Amblyscirtes fimbriata,213338,Hesperiidae
46181168,2020-05-14,9531,31.9172072982,-109.2789704204,Cochise,Epargyreus clarus,81559,Hesperiidae
46183031,2020-05-14,9531,31.8700586233,-109.1870760533,Cochise,Achalarus casica,128085,Hesperiidae
46183032,2020-05-14,9531,31.8700586233,-109.1870760533,Cochise,Adelpha eulalia,67559,Nymphalidae
46183038,2020-05-14,9531,31.8700586233,-109.1870760533,Cochise,Anthanassa texana,132339,Nymphalidae
46183043,2020-05-14,9531,31.8700586233,-109.1870760533,Cochise,Celastrina echo,52484,Lycaenidae
46190350,2020-05-11,2983804,33.5990013555,-112.2037913372,Maricopa,Agraulis vanillae,49150,Nymphalidae
46190478,2020-05-12,2983804,33.5990304826,-112.2037593183,Maricopa,Agraulis vanillae,49150,Nymphalidae
46190489,2020-05-12,2983804,33.5990345897,-112.2037718074,Maricopa,Agraulis vanillae,49150,Nymphalidae
46190501,2020-05-14,2983804,33.5990046244,-112.2035360244,Maricopa,Pontia protodice,59119,Pieridae
46190560,2020-05-14,2983804,33.5989433946,-112.2035802809,Maricopa,Pontia protodice,59119,Pieridae
46190583,2020-05-16,2983804,33.5993464385,-112.2033639439,Maricopa,Nathalis iole,51773,Pieridae
46194442,2020-05-12,2631946,33.2800657421,-111.1590354389,Pinal,Anthanassa texana,132339,Nymphalidae
46194642,2020-05-08,2631946,33.1742834979,-111.5939829439,Pinal,Vanessa cardui,48548,Nymphalidae
46196497,2019-05-05,922012,33.8551364774,-111.4750032986,Maricopa,Leptotes marina,59152,Lycaenidae
46196498,2019-05-05,922012,33.8550277382,-111.4751803244,Maricopa,Junonia coenia,48505,Nymphalidae
46196500,2019-05-05,922012,33.8549442651,-111.4752202474,Maricopa,Pontia protodice,59119,Pieridae
46196513,2019-05-05,922012,33.8543256108,-111.4748968892,Maricopa,Apodemia mormo,59165,Riodinidae
46196523,2019-05-05,922012,33.8547825354,-111.4749304167,Maricopa,Junonia coenia,48505,Nymphalidae
46224855,2013-09-04,20400,34.9497259145,-111.7397990555,Coconino,Battus philenor,49972,Papilionidae
46239846,2020-05-17,1483030,31.61259,-111.045924,Santa Cruz,Danaus gilippus,51743,Nymphalidae
46247399,2020-05-17,1279898,33.395109402,-112.4194023621,Maricopa,Danaus gilippus,51743,Nymphalidae
46248961,2020-05-17,2883948,31.4192388889,-110.26995,Cochise,Anthanassa texana,132339,Nymphalidae
46266882,2014-09-22,342811,31.7275514065,-110.8766536725,Pima,Vanessa virginiensis,48549,Nymphalidae
46267948,2020-05-16,763687,32.3223504078,-110.8098123595,Pima,Danaus gilippus,51743,Nymphalidae
46268503,2020-05-16,254546,33.272392,-111.1764998,Pinal,Libytheana carinenta,58561,Nymphalidae
46268976,2020-05-16,254546,33.272392,-111.1764998,Pinal,Pontia protodice,59119,Pieridae
46269068,2020-05-16,254546,33.272392,-111.1764998,Pinal,Nathalis iole,51773,Pieridae
46269224,2020-05-15,1923420,31.57135,-111.3267666667,Pima,Battus philenor,49972,Papilionidae
46282403,2020-05-16,550238,36.7612843736,-112.2706273758,Coconino,Callophrys eryphon,81967,Lycaenidae
46286766,2020-05-17,1042581,35.28481667,-111.627845,Coconino,Glaucopsyche lygdamus,56776,Lycaenidae
46290078,2020-05-17,2480762,32.2783340584,-110.9692978486,Pima,Agraulis vanillae,49150,Nymphalidae
46307593,2020-05-16,770371,31.7994194444,-110.7979305556,Pima,Vanessa cardui,48548,Nymphalidae
46307594,2020-05-16,770371,31.7877805556,-110.8845638889,Pima,Phaeostrymon alcestis,205153,Lycaenidae
46307606,2020-05-16,770371,31.7992416667,-110.7990805556,Pima,Apodemia palmerii,214020,Riodinidae
46307607,2020-05-16,770371,31.6771125517,-110.8933156434,Pima,Chlorostrymon simaethis,205152,Lycaenidae
46307635,2020-05-16,770371,31.7989027778,-110.7949194444,Pima,Asterocampa clyton,58587,Nymphalidae
46307636,2020-05-16,770371,31.7993527778,-110.7978472222,Pima,Dymasia dymas,68249,Nymphalidae
46307640,2020-05-16,770371,31.7338111111,-110.8827444444,Pima,Copaeodes aurantiaca,129415,Hesperiidae
46307663,2020-05-16,770371,31.7948888889,-111.0152694444,Pima,Danaus gilippus,51743,Nymphalidae
46307664,2020-05-16,770371,31.7995861111,-110.7980444444,Pima,Leptotes marina,59152,Lycaenidae
46307690,2020-05-16,770371,31.7334111111,-110.8834472222,Pima,Arawacus jada,257932,Lycaenidae
46307691,2020-05-16,770371,31.7650914444,-110.984532083,Pima,Chlorostrymon simaethis,205152,Lycaenidae
46307694,2020-05-16,770371,31.79915,-110.7979,Pima,Strymon melinus,50931,Lycaenidae
46307706,2020-05-16,770371,31.7997805556,-110.7985638889,Pima,Battus philenor,49972,Papilionidae
46307716,2020-05-16,770371,31.79955,-110.7980111111,Pima,Junonia nigrosuffusa,1021511,Nymphalidae
46307727,2020-05-16,770371,31.7955388889,-111.0146777778,Pima,Brephidium exilis,53843,Lycaenidae
46307741,2020-05-16,770371,31.7986050044,-110.7940847403,Pima,Staphylus ceos,132077,Hesperiidae
46307742,2020-05-16,770371,31.7954861111,-111.0157055556,Pima,Strymon melinus,50931,Lycaenidae
46307750,2020-05-16,770371,31.7992943917,-110.7976908372,Pima,Chlosyne lacinia,68240,Nymphalidae
46307760,2020-05-16,770371,31.7996111111,-110.7981166667,Pima,Cogia hippalus,142636,Hesperiidae
46307767,2020-05-16,770371,31.7992833333,-110.7976777778,Pima,Strymon melinus,50931,Lycaenidae
46307768,2020-05-16,770371,31.7992805556,-110.7989722222,Pima,Libytheana carinenta,58561,Nymphalidae
46307773,2020-05-16,770371,31.7992944444,-110.7977166667,Pima,Copaeodes aurantiaca,129415,Hesperiidae
46307777,2020-05-16,770371,31.79915,-110.7979,Pima,Abaeis nicippe,81727,Pieridae
46307778,2020-05-16,770371,31.799575,-110.7979111111,Pima,Anthanassa texana,132339,Nymphalidae
